,,,,,,,,Fail Items,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENAULT,TRAFIC,2006,17,5,29.4,12,70.6,5,29.4,4,23.5,5,29.4,4,23.5,4,23.5,0,0,0,0,5,29.4,0,0,1,5.9,3,17.6,0,0,0,0,1,5.9
RENAULT,TRAFIC,2007,20,3,15,17,85,2,10,8,40,8,40,5,25,4,20,1,5,0,0,7,35,1,5,0,0,5,25,0,0,0,0,0,0
RENAULT,TRAFIC,2008,52,21,40.4,31,59.6,6,11.5,13,25,18,34.6,5,9.6,7,13.5,3,5.8,1,1.9,16,30.8,2,3.8,6,11.5,8,15.4,1,1.9,0,0,0,0
RENAULT,TRAFIC,2009,7,2,28.6,5,71.4,2,28.6,1,14.3,1,14.3,0,0,1,14.3,0,0,0,0,1,14.3,0,0,0,0,1,14.3,0,0,0,0,0,0
RENAULT,TRAFIC,2010,12,7,58.3,5,41.7,1,8.3,1,8.3,2,16.7,0,0,1,8.3,3,25,0,0,2,16.7,0,0,0,0,0,0,0,0,0,0,0,0
RENAULT,TRAFIC,2011,2,0,0,2,100,0,0,1,50,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
RENAULT,TRAFIC,2012,2,1,50,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENAULT,TRAFIC,2013,8,7,87.5,1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.5
RENAULT,TRAFIC LH 29 120BHP 5DR,2007,1,0,0,1,100,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENAULT,TRAFIC SL27 DCI 100 SWB,2005,1,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
RENAULT,TWINGO,2007,14,10,71.4,4,28.6,0,0,0,0,1,7.1,0,0,2,14.3,0,0,0,0,1,7.1,0,0,0,0,2,14.3,0,0,0,0,0,0
RENAULT,TWINGO,2008,187,126,67.4,61,32.6,5,2.7,11,5.9,24,12.8,10,5.3,33,17.6,0,0,2,1.1,21,11.2,2,1.1,2,1.1,4,2.1,0,0,0,0,0,0
RENAULT,TWINGO,2009,8,3,37.5,5,62.5,2,25,0,0,0,0,2,25,1,12.5,1,12.5,0,0,0,0,1,12.5,0,0,0,0,0,0,0,0,0,0
RENAULT,TWINGO,2010,13,10,76.9,3,23.1,0,0,1,7.7,0,0,0,0,1,7.7,0,0,0,0,1,7.7,0,0,0,0,0,0,0,0,0,0,0,0
RENAULT,VELSATIS,2003,8,2,25,6,75,1,12.5,3,37.5,1,12.5,0,0,0,0,0,0,0,0,0,0,1,12.5,0,0,1,12.5,0,0,0,0,0,0
RENAULT,VELSATIS,2004,2,1,50,1,50,1,50,0,0,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
RENAULT,VELSATIS,2005,2,0,0,2,100,0,0,1,50,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
RENAULT,WIND,2010,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REVA,OTHER,2010,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RILEY,OTHER,1955,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROBINHOOD,OTHER,2004,2,0,0,2,100,2,100,1,50,1,50,1,50,0,0,1,50,1,50,1,50,0,0,0,0,0,0,1,50,0,0,0,0
ROLLS ROYCE,OTHER,1932,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1939,2,1,50,1,50,1,50,0,0,1,50,0,0,1,50,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1948,2,1,50,1,50,0,0,1,50,1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1950,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1957,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1958,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1960,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1964,4,3,75,1,25,0,0,1,25,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1965,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1972,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1973,4,2,50,2,50,0,0,1,25,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,1,25,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1974,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1976,3,2,66.7,1,33.3,1,33.3,1,33.3,1,33.3,0,0,0,0,0,0,1,33.3,0,0,0,0,1,33.3,1,33.3,1,33.3,0,0,0,0
ROLLS ROYCE,OTHER,1978,8,4,50,4,50,2,25,2,25,1,12.5,0,0,2,25,1,12.5,0,0,1,12.5,0,0,2,25,3,37.5,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1979,2,1,50,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0
ROLLS ROYCE,OTHER,1980,5,3,60,2,40,0,0,0,0,0,0,0,0,0,0,1,20,2,40,0,0,0,0,0,0,1,20,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1981,3,1,33.3,2,66.7,1,33.3,1,33.3,2,66.7,0,0,1,33.3,2,66.7,1,33.3,0,0,1,33.3,0,0,1,33.3,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1983,4,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1985,5,1,20,4,80,2,40,1,20,4,80,1,20,1,20,0,0,0,0,4,80,0,0,0,0,4,80,1,20,0,0,0,0
ROLLS ROYCE,OTHER,1986,5,4,80,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,20,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1987,1,0,0,1,100,0,0,0,0,1,100,0,0,1,100,0,0,0,0,1,100,1,100,0,0,1,100,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1989,2,0,0,2,100,1,50,1,50,1,50,0,0,1,50,0,0,0,0,0,0,1,50,1,50,2,100,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1990,4,3,75,1,25,1,25,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1991,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1995,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1998,2,1,50,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,1999,1,0,0,1,100,1,100,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,2000,2,1,50,1,50,0,0,1,50,1,50,1,50,0,0,0,0,0,0,0,0,1,50,0,0,1,50,0,0,0,0,0,0
ROLLS ROYCE,OTHER,2004,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,OTHER,2007,1,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROLLS ROYCE,PHANTOM,1937,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,100 SERIES,1995,1,0,0,1,100,0,0,1,100,1,100,0,0,0,0,1,100,0,0,1,100,0,0,0,0,0,0,1,100,0,0,0,0
ROVER,100 SERIES,1996,2,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,2,100,0,0,0,0
ROVER,100 SERIES,1997,3,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,1,33.3,1,33.3,0,0,0,0,1,33.3,1,33.3,0,0,0,0
ROVER,100 SERIES,1998,1,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,200,1997,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,200,1999,40,15,37.5,25,62.5,6,15,11,27.5,2,5,1,2.5,6,15,8,20,2,5,1,2.5,0,0,2,5,6,15,5,12.5,0,0,0,0
ROVER,200,2000,26,12,46.2,14,53.8,7,26.9,6,23.1,1,3.8,3,11.5,3,11.5,4,15.4,1,3.8,2,7.7,0,0,2,7.7,1,3.8,3,11.5,0,0,0,0
ROVER,200,2001,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,213,1986,1,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,214,1990,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,214,1993,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,214,1994,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,214,1995,2,0,0,2,100,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0
ROVER,214,1996,5,1,20,4,80,2,40,2,40,1,20,0,0,2,40,0,0,4,80,1,20,0,0,0,0,0,0,1,20,0,0,0,0
ROVER,214,1997,25,7,28,18,72,4,16,8,32,4,16,2,8,4,16,2,8,4,16,4,16,0,0,2,8,5,20,2,8,1,4,0,0
ROVER,214,1998,45,17,37.8,28,62.2,11,24.4,10,22.2,3,6.7,5,11.1,7,15.6,0,0,7,15.6,2,4.4,1,2.2,5,11.1,8,17.8,8,17.8,1,2.2,0,0
ROVER,214,1999,65,25,38.5,40,61.5,7,10.8,23,35.4,3,4.6,4,6.2,7,10.8,8,12.3,6,9.2,1,1.5,1,1.5,3,4.6,8,12.3,14,21.5,1,1.5,1,1.5
ROVER,214,2000,7,3,42.9,4,57.1,0,0,0,0,0,0,0,0,2,28.6,1,14.3,1,14.3,0,0,0,0,0,0,1,14.3,1,14.3,0,0,0,0
ROVER,216,1992,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,216,1993,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,216,1994,5,3,60,2,40,1,20,1,20,1,20,0,0,1,20,0,0,1,20,1,20,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,216,1995,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,216,1996,3,2,66.7,1,33.3,0,0,1,33.3,0,0,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,1,33.3,0,0,0,0,0,0
ROVER,216,1998,4,1,25,3,75,0,0,2,50,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,1,25,1,25,0,0,0,0
ROVER,218,1992,1,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,218,1994,3,1,33.3,2,66.7,0,0,1,33.3,1,33.3,0,0,1,33.3,1,33.3,1,33.3,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,218,1995,2,1,50,1,50,1,50,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0
ROVER,218,1997,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
ROVER,218,1998,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,220,1998,4,1,25,3,75,2,50,0,0,0,0,2,50,0,0,0,0,1,25,0,0,0,0,0,0,2,50,0,0,0,0,0,0
ROVER,220,1999,4,1,25,3,75,0,0,0,0,0,0,1,25,1,25,1,25,1,25,0,0,0,0,1,25,3,75,1,25,0,0,0,0
ROVER,25,2000,183,73,39.9,110,60.1,20,10.9,55,30.1,14,7.7,14,7.7,31,16.9,38,20.8,9,4.9,13,7.1,0,0,12,6.6,27,14.8,23,12.6,1,0.5,0,0
ROVER,25,2001,136,43,31.6,93,68.4,23,16.9,38,27.9,16,11.8,15,11,21,15.4,31,22.8,7,5.1,15,11,0,0,9,6.6,22,16.2,15,11,1,0.7,0,0
ROVER,25,2002,105,40,38.1,65,61.9,11,10.5,27,25.7,6,5.7,8,7.6,23,21.9,22,21,5,4.8,9,8.6,1,1,10,9.5,10,9.5,14,13.3,1,1,0,0
ROVER,25,2003,103,41,39.8,62,60.2,15,14.6,29,28.2,4,3.9,7,6.8,20,19.4,24,23.3,4,3.9,5,4.9,1,1,6,5.8,10,9.7,16,15.5,0,0,0,0
ROVER,25,2004,82,33,40.2,49,59.8,6,7.3,21,25.6,7,8.5,1,1.2,15,18.3,21,25.6,2,2.4,7,8.5,0,0,3,3.7,1,1.2,7,8.5,0,0,0,0
ROVER,25,2005,26,13,50,13,50,3,11.5,6,23.1,3,11.5,0,0,6,23.1,2,7.7,0,0,3,11.5,0,0,0,0,2,7.7,4,15.4,0,0,0,0
ROVER,25,2006,3,1,33.3,2,66.7,1,33.3,0,0,1,33.3,0,0,1,33.3,1,33.3,0,0,1,33.3,0,0,0,0,0,0,1,33.3,0,0,0,0
ROVER,400 SERIES,1993,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,400 SERIES,1994,9,6,66.7,3,33.3,0,0,0,0,1,11.1,0,0,2,22.2,0,0,2,22.2,2,22.2,0,0,0,0,0,0,1,11.1,0,0,0,0
ROVER,400 SERIES,1995,13,5,38.5,8,61.5,1,7.7,2,15.4,1,7.7,1,7.7,2,15.4,0,0,0,0,0,0,0,0,1,7.7,1,7.7,4,30.8,0,0,0,0
ROVER,400 SERIES,1996,23,9,39.1,14,60.9,0,0,6,26.1,4,17.4,4,17.4,3,13,5,21.7,0,0,4,17.4,0,0,0,0,4,17.4,3,13,1,4.3,0,0
ROVER,400 SERIES,1997,30,9,30,21,70,2,6.7,4,13.3,9,30,7,23.3,6,20,4,13.3,6,20,9,30,0,0,0,0,10,33.3,4,13.3,1,3.3,0,0
ROVER,400 SERIES,1998,50,14,28,36,72,4,8,10,20,10,20,8,16,7,14,10,20,8,16,10,20,0,0,6,12,17,34,9,18,0,0,0,0
ROVER,400 SERIES,1999,88,24,27.3,64,72.7,12,13.6,21,23.9,19,21.6,11,12.5,19,21.6,12,13.6,10,11.4,16,18.2,0,0,16,18.2,19,21.6,19,21.6,0,0,0,0
ROVER,400 SERIES,2000,4,2,50,2,50,0,0,1,25,0,0,1,25,1,25,1,25,0,0,0,0,0,0,1,25,0,0,2,50,0,0,0,0
ROVER,420,1999,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,45,2000,138,39,28.3,99,71.7,29,21,36,26.1,27,19.6,25,18.1,24,17.4,26,18.8,14,10.1,24,17.4,4,2.9,10,7.2,29,21,23,16.7,0,0,0,0
ROVER,45,2001,141,54,38.3,87,61.7,20,14.2,26,18.4,26,18.4,17,12.1,21,14.9,20,14.2,8,5.7,20,14.2,5,3.5,11,7.8,27,19.1,18,12.8,2,1.4,0,0
ROVER,45,2002,144,42,29.2,102,70.8,19,13.2,34,23.6,19,13.2,15,10.4,26,18.1,42,29.2,7,4.9,18,12.5,0,0,6,4.2,20,13.9,18,12.5,1,0.7,0,0
ROVER,45,2003,137,50,36.5,87,63.5,21,15.3,39,28.5,25,18.2,19,13.9,24,17.5,23,16.8,6,4.4,17,12.4,0,0,8,5.8,20,14.6,15,10.9,0,0,1,0.7
ROVER,45,2004,171,74,43.3,97,56.7,14,8.2,47,27.5,15,8.8,13,7.6,35,20.5,23,13.5,8,4.7,13,7.6,1,0.6,16,9.4,14,8.2,12,7,0,0,0,0
ROVER,45,2005,48,20,41.7,28,58.3,8,16.7,15,31.3,5,10.4,2,4.2,8,16.7,7,14.6,1,2.1,5,10.4,0,0,5,10.4,5,10.4,1,2.1,0,0,0,0
ROVER,45,2006,26,14,53.8,12,46.2,5,19.2,9,34.6,1,3.8,0,0,2,7.7,2,7.7,2,7.7,1,3.8,0,0,2,7.7,0,0,1,3.8,0,0,0,0
ROVER,45,2007,2,0,0,2,100,2,100,0,0,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,2,100,0,0,0,0
ROVER,45,2008,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,600 SERIES,1994,5,2,40,3,60,0,0,1,20,1,20,0,0,1,20,0,0,1,20,0,0,0,0,0,0,2,40,0,0,0,0,0,0
ROVER,600 SERIES,1995,15,4,26.7,11,73.3,3,20,4,26.7,4,26.7,5,33.3,2,13.3,2,13.3,3,20,5,33.3,0,0,1,6.7,6,40,1,6.7,0,0,0,0
ROVER,600 SERIES,1996,20,8,40,12,60,6,30,3,15,7,35,3,15,3,15,4,20,2,10,6,30,0,0,1,5,6,30,4,20,0,0,0,0
ROVER,600 SERIES,1997,31,9,29,22,71,3,9.7,7,22.6,7,22.6,7,22.6,5,16.1,6,19.4,3,9.7,7,22.6,0,0,1,3.2,12,38.7,2,6.5,0,0,0,0
ROVER,600 SERIES,1998,52,16,30.8,36,69.2,6,11.5,9,17.3,14,26.9,3,5.8,7,13.5,10,19.2,2,3.8,11,21.2,3,5.8,6,11.5,12,23.1,7,13.5,0,0,0,0
ROVER,600 SERIES,1999,42,12,28.6,30,71.4,9,21.4,12,28.6,7,16.7,5,11.9,7,16.7,7,16.7,1,2.4,5,11.9,0,0,0,0,9,21.4,8,19,0,0,0,0
ROVER,75,1999,24,10,41.7,14,58.3,2,8.3,5,20.8,2,8.3,6,25,1,4.2,0,0,2,8.3,3,12.5,0,0,6,25,7,29.2,0,0,0,0,0,0
ROVER,75,2000,108,40,37,68,63,17,15.7,26,24.1,28,25.9,13,12,17,15.7,9,8.3,2,1.9,20,18.5,6,5.6,11,10.2,19,17.6,5,4.6,0,0,0,0
ROVER,75,2001,148,41,27.7,107,72.3,26,17.6,42,28.4,61,41.2,28,18.9,27,18.2,12,8.1,11,7.4,48,32.4,15,10.1,20,13.5,36,24.3,9,6.1,0,0,0,0
ROVER,75,2002,216,71,32.9,145,67.1,30,13.9,51,23.6,54,25,47,21.8,30,13.9,18,8.3,11,5.1,43,19.9,14,6.5,25,11.6,56,25.9,14,6.5,1,0.5,0,0
ROVER,75,2003,229,88,38.4,141,61.6,21,9.2,47,20.5,63,27.5,45,19.7,34,14.8,11,4.8,2,0.9,43,18.8,8,3.5,25,10.9,51,22.3,16,7,0,0,0,0
ROVER,75,2004,257,100,38.9,157,61.1,35,13.6,69,26.8,71,27.6,45,17.5,42,16.3,7,2.7,5,1.9,53,20.6,17,6.6,23,8.9,53,20.6,9,3.5,2,0.8,0,0
ROVER,75,2005,49,14,28.6,35,71.4,1,2,18,36.7,20,40.8,7,14.3,6,12.2,2,4.1,1,2,17,34.7,3,6.1,2,4.1,7,14.3,3,6.1,0,0,0,0
ROVER,75,2006,25,10,40,15,60,4,16,11,44,3,12,4,16,6,24,0,0,1,4,2,8,0,0,3,12,3,12,1,4,0,0,0,0
ROVER,820,1995,1,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,820,1998,2,0,0,2,100,0,0,0,0,1,50,0,0,1,50,1,50,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0
ROVER,CITY ROVER,1998,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0
ROVER,CITY ROVER,2004,6,1,16.7,5,83.3,1,16.7,2,33.3,2,33.3,2,33.3,2,33.3,0,0,0,0,1,16.7,0,0,1,16.7,2,33.3,0,0,0,0,0,0
ROVER,CITY ROVER,2005,3,0,0,3,100,1,33.3,3,100,0,0,1,33.3,2,66.7,0,0,0,0,0,0,0,0,1,33.3,2,66.7,0,0,0,0,0,0
ROVER,CITY ROVER,2006,2,0,0,2,100,0,0,0,0,0,0,1,50,0,0,0,0,1,50,0,0,0,0,0,0,2,100,1,50,0,0,0,0
ROVER,LAND ROVER DISCOVERY,1994,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,LAND ROVER DISCOVERY,1995,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,LAND ROVER DISCOVERY,1996,5,2,40,3,60,1,20,1,20,1,20,0,0,1,20,1,20,3,60,0,0,0,0,0,0,1,20,0,0,0,0,0,0
ROVER,LAND ROVER DISCOVERY,1997,7,0,0,7,100,3,42.9,6,85.7,4,57.1,3,42.9,3,42.9,2,28.6,2,28.6,1,14.3,1,14.3,2,28.6,3,42.9,0,0,0,0,0,0
ROVER,LAND ROVER DISCOVERY,1998,10,3,30,7,70,4,40,2,20,1,10,1,10,1,10,1,10,2,20,2,20,0,0,0,0,2,20,0,0,0,0,0,0
ROVER,LAND ROVER DISCOVERY,1999,39,10,25.6,29,74.4,23,59,15,38.5,13,33.3,11,28.2,3,7.7,3,7.7,4,10.3,7,17.9,1,2.6,4,10.3,7,17.9,3,7.7,0,0,0,0
ROVER,LAND ROVER DISCOVERY,2000,77,20,26,57,74,31,40.3,29,37.7,22,28.6,15,19.5,6,7.8,7,9.1,14,18.2,16,20.8,2,2.6,5,6.5,16,20.8,5,6.5,2,2.6,0,0
ROVER,LAND ROVER DISCOVERY,2001,105,28,26.7,77,73.3,40,38.1,29,27.6,34,32.4,19,18.1,9,8.6,14,13.3,13,12.4,23,21.9,6,5.7,10,9.5,19,18.1,5,4.8,1,1,0,0
ROVER,LAND ROVER DISCOVERY,2002,35,5,14.3,30,85.7,11,31.4,10,28.6,14,40,5,14.3,4,11.4,5,14.3,5,14.3,8,22.9,3,8.6,3,8.6,3,8.6,7,20,0,0,0,0
ROVER,LAND ROVER DISCOVERY,2003,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,LANDROVER,1989,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,LANDROVER,1997,4,1,25,3,75,1,25,2,50,1,25,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,LANDROVER,1998,46,9,19.6,37,80.4,16,34.8,16,34.8,18,39.1,10,21.7,10,21.7,7,15.2,9,19.6,18,39.1,2,4.3,2,4.3,12,26.1,11,23.9,0,0,0,0
ROVER,LANDROVER,1999,104,22,21.2,82,78.8,22,21.2,35,33.7,36,34.6,19,18.3,18,17.3,19,18.3,11,10.6,32,30.8,4,3.8,4,3.8,25,24,20,19.2,0,0,1,1
ROVER,LANDROVER,2000,200,56,28,144,72,34,17,72,36,48,24,55,27.5,25,12.5,26,13,10,5,36,18,0,0,8,4,53,26.5,35,17.5,0,0,1,0.5
ROVER,LANDROVER,2001,354,120,33.9,234,66.1,43,12.1,111,31.4,75,21.2,86,24.3,46,13,35,9.9,19,5.4,61,17.2,10,2.8,14,4,97,27.4,21,5.9,1,0.3,1,0.3
ROVER,LANDROVER,2002,111,46,41.4,65,58.6,10,9,35,31.5,20,18,16,14.4,12,10.8,9,8.1,1,0.9,18,16.2,4,3.6,5,4.5,21,18.9,5,4.5,0,0,0,0
ROVER,LANDROVER,2003,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,METRO,1986,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,METRO,1989,4,1,25,3,75,1,25,1,25,1,25,0,0,1,25,1,25,1,25,1,25,0,0,1,25,0,0,1,25,0,0,0,0
ROVER,METRO,1990,1,0,0,1,100,1,100,1,100,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,METRO,1992,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROVER,METRO,1993,2,1,50,1,50,0,0,0,0,1,50,0,0,0,0,0,0,1,50,1,50,0,0,0,0,1,50,0,0,0,0,0,0
ROVER,MG,1996,4,2,50,2,50,1,25,2,50,2,50,0,0,0,0,0,0,0,0,2,50,0,0,0,0,1,25,1,25,0,0,0,0
ROVER,MG,1997,9,1,11.1,8,88.9,4,44.4,5,55.6,5,55.6,2,22.2,3,33.3,2,22.2,1,11.1,5,55.6,1,11.1,1,11.1,1,11.1,3,33.3,0,0,0,0
ROVER,MG,1998,8,2,25,6,75,3,37.5,2,25,3,37.5,1,12.5,0,0,1,12.5,3,37.5,3,37.5,0,0,2,25,1,12.5,2,25,0,0,0,0
ROVER,MG,1999,5,2,40,3,60,2,40,1,20,1,20,1,20,1,20,0,0,2,40,1,20,0,0,0,0,1,20,1,20,0,0,0,0
ROVER,MG,2000,6,1,16.7,5,83.3,2,33.3,2,33.3,2,33.3,1,16.7,1,16.7,0,0,1,16.7,2,33.3,0,0,1,16.7,3,50,2,33.3,0,0,0,0
